"","Year","Partner.ISO","Reporter.ISO","Reporter.x","Partner.x","Import","Reporter.y","Partner.y","Export","DIF","Disc"
"1",2010,"AUS","BRN","Brunei Darussalam","Australia",49.088769,"Australia","Brunei Darussalam",30.723364,0.374126411684921,18.365405
"2",2010,"AUS","CAN","Canada","Australia",1572.237781,"Australia","Canada",1151.780257,0.267426167390898,420.457524
"3",2010,"AUS","CHN","China","Australia",61105.168266,"Australia","China",53740.402579,0.120526068350554,7364.765687
"4",2010,"AUS","HKG","China, Hong Kong SAR","Australia",2293.385803,"Australia","China, Hong Kong SAR",2893.507161,-0.261674837794398,-600.121358
"5",2010,"AUS","IDN","Indonesia","Australia",4099.038523,"Australia","Indonesia",4131.358752,-0.0078848317278915,-32.3202289999999
"6",2010,"AUS","IND","India","Australia",12061.235451,"Australia","India",15109.408318,-0.252724762681527,-3048.172867
"7",2010,"AUS","JPN","Japan","Australia",45096.684248,"Australia","Japan",40088.026972,0.111064867839416,5008.657276
"8",2010,"AUS","KHM","Cambodia","Australia",15.771194,"Australia","Cambodia",22.992756,-0.457895705296631,-7.221562
"9",2010,"AUS","KOR","Rep. of Korea","Australia",20454.635393,"Australia","Rep. of Korea",18829.447709,0.0794532707513414,1625.187684
"10",2010,"AUS","LAO","Lao People's Dem. Rep.","Australia",2.81016,"Australia","Lao People's Dem. Rep.",22.690796,-7.07455660887636,-19.880636
"11",2010,"AUS","MMR","Myanmar","Australia",71.097651,"Australia","Myanmar",74.505654,-0.0479341152916572,-3.40800300000001
"12",2010,"AUS","MYS","Malaysia","Australia",3175.401775,"Australia","Malaysia",3347.100138,-0.0540713821954074,-171.698363
"13",2010,"AUS","NZL","New Zealand","Australia",5563.270879,"Australia","New Zealand",7356.810011,-0.32238932293773,-1793.539132
"14",2010,"AUS","PHL","Philippines","Australia",903.317485,"Australia","Philippines",1152.973774,-0.276377124483536,-249.656289
"15",2010,"AUS","RUS","Russian Federation","Australia",768.51839,"Australia","Russian Federation",783.506778,-0.0195029659602552,-14.9883880000001
"16",2010,"AUS","SGP","Singapore","Australia",3859.611228,"Australia","Singapore",4453.662064,-0.153914682310588,-594.050836
"17",2010,"AUS","THA","Thailand","Australia",5895.85315,"Australia","Thailand",5385.84476,0.0865028990757682,510.00839
"18",2010,"AUS","USA","USA","Australia",8795.06019,"Australia","USA",8430.740965,0.0414231644957053,364.319224999999
"19",2010,"AUS","VNM","Viet Nam","Australia",1443.64198,"Australia","Viet Nam",1400.160366,0.0301193887420758,43.481614
"20",2010,"BRN","AUS","Australia","Brunei Darussalam",997.069088,"Brunei Darussalam","Australia",919.875927,0.0774200724192945,77.1931609999999
"21",2010,"BRN","CAN","Canada","Brunei Darussalam",0.025643,"Brunei Darussalam","Canada",0.619098,-23.1429629918496,-0.593455
"22",2010,"BRN","CHN","China","Brunei Darussalam",664.32997,"Brunei Darussalam","China",586.862133,0.11661048048156,77.467837
"23",2010,"BRN","HKG","China, Hong Kong SAR","Brunei Darussalam",5.047755,"Brunei Darussalam","China, Hong Kong SAR",19.608487,-2.88459562716495,-14.560732
"24",2010,"BRN","IDN","Indonesia","Brunei Darussalam",666.184222,"Brunei Darussalam","Indonesia",632.162864,0.0510689939456416,34.021358
"25",2010,"BRN","IND","India","Brunei Darussalam",207.130375,"Brunei Darussalam","India",496.065927,-1.39494534299955,-288.935552
"26",2010,"BRN","JPN","Japan","Brunei Darussalam",4109.743653,"Brunei Darussalam","Japan",3871.95396,0.0578599818084568,237.789693000001
"27",2010,"BRN","KHM","Cambodia","Brunei Darussalam",0.53147,"Brunei Darussalam","Cambodia",0.060849,0.885508118990724,0.470621
"28",2010,"BRN","KOR","Rep. of Korea","Brunei Darussalam",1521.541827,"Brunei Darussalam","Rep. of Korea",1486.460415,0.023056488738906,35.081412
"29",2010,"BRN","LAO","Lao People's Dem. Rep.","Brunei Darussalam",0.001121,"Brunei Darussalam","Lao People's Dem. Rep.",0.008919,-6.95628902765388,-0.007798
"30",2010,"BRN","MMR","Myanmar","Brunei Darussalam",0.026933,"Brunei Darussalam","Myanmar",0.039845,-0.479411873909331,-0.012912
"31",2010,"BRN","MYS","Malaysia","Brunei Darussalam",48.327662,"Brunei Darussalam","Malaysia",132.379256,-1.73920257098305,-84.051594
"32",2010,"BRN","NZL","New Zealand","Brunei Darussalam",452.896519,"Brunei Darussalam","New Zealand",377.841074,0.165723166002077,75.055445
"33",2010,"BRN","PHL","Philippines","Brunei Darussalam",2.925957,"Brunei Darussalam","Philippines",6.108743,-1.08777606779594,-3.182786
"34",2010,"BRN","RUS","Russian Federation","Brunei Darussalam",0.017155,"Brunei Darussalam","Russian Federation",0.05742,-2.34712911687555,-0.040265
"35",2010,"BRN","SGP","Singapore","Brunei Darussalam",130.765496,"Brunei Darussalam","Singapore",251.184605,-0.920878310284542,-120.419109
"36",2010,"BRN","THA","Thailand","Brunei Darussalam",98.501058,"Brunei Darussalam","Thailand",78.128485,0.206825930742795,20.372573
"37",2010,"BRN","USA","USA","Brunei Darussalam",13.270562,"Brunei Darussalam","USA",14.218651,-0.0714430180123494,-0.948089
"38",2010,"BRN","VNM","Viet Nam","Brunei Darussalam",10.0063,"Brunei Darussalam","Viet Nam",6.606126,0.339803323905939,3.400174
"39",2010,"CAN","AUS","Australia","Canada",1731.11558,"Canada","Australia",1701.762379,0.0169562340834573,29.3532009999999
"40",2010,"CAN","BRN","Brunei Darussalam","Canada",8.472173,"Canada","Brunei Darussalam",11.805696,-0.393467295816551,-3.333523
"41",2010,"CAN","CHN","China","Canada",14921.961381,"Canada","China",12854.413791,0.138557361007018,2067.54759
"42",2010,"CAN","HKG","China, Hong Kong SAR","Canada",1668.334757,"Canada","China, Hong Kong SAR",1819.47647,-0.0905943560582428,-151.141713
"43",2010,"CAN","IDN","Indonesia","Canada",1108.416133,"Canada","Indonesia",1031.152597,0.0697062535447596,77.2635359999999
"44",2010,"CAN","IND","India","Canada",2065.95935,"Canada","India",1999.922624,0.0319641942616151,66.036726
"45",2010,"CAN","JPN","Japan","Canada",10942.480662,"Canada","Japan",8932.610108,0.183675952106517,2009.870554
"46",2010,"CAN","KHM","Cambodia","Canada",4.16176,"Canada","Cambodia",4.050182,0.0268102917996232,0.111578
"47",2010,"CAN","KOR","Rep. of Korea","Canada",4350.863363,"Canada","Rep. of Korea",3603.394195,0.171797895184786,747.469168000001
