"","Year","Partner.ISO","Reporter.ISO","Reporter.x","Partner.x","Import","Reporter.y","Partner.y","Export","DIF"
"1",2015,"AUS","BRN","Brunei Darussalam","Australia",43.839256,"Australia","Brunei Darussalam",35.435026,0.191705580039953
"2",2015,"AUS","CAN","Canada","Australia",1313.581663,"Australia","Canada",1161.530528,0.115753088888848
"3",2015,"AUS","CHN","China","Australia",73509.970806,"Australia","China",61012.456214,0.170011148895463
"4",2015,"AUS","HKG","China, Hong Kong SAR","Australia",4833.725948,"Australia","China, Hong Kong SAR",2429.770075,0.497329782213793
"5",2015,"AUS","IDN","Indonesia","Australia",4815.794517,"Australia","Indonesia",3729.748714,0.225517471554528
"6",2015,"AUS","IND","India","Australia",9411.865326,"Australia","India",7946.612862,0.155681409927561
"7",2015,"AUS","JPN","Japan","Australia",34791.622271,"Australia","Japan",29826.962032,0.142697003328247
"8",2015,"AUS","KHM","Cambodia","Australia",31.268148,"Australia","Cambodia",34.719817,-0.110389300958918
"9",2015,"AUS","KOR","Rep. of Korea","Australia",16436.97569,"Australia","Rep. of Korea",13299.32502,0.190889779797442
"10",2015,"AUS","LAO","Lao People's Dem. Rep.","Australia",13.933835,"Australia","Lao People's Dem. Rep.",20.122202,-0.444125181617265
"11",2015,"AUS","MMR","Myanmar","Australia",57.835046,"Australia","Myanmar",108.232975,-0.871408125101171
"12",2015,"AUS","MYS","Malaysia","Australia",4487.113268,"Australia","Malaysia",3424.096412,0.236904395434129
"13",2015,"AUS","NZL","New Zealand","Australia",4330.140133,"Australia","New Zealand",6262.277498,-0.446206659751074
"14",2015,"AUS","PHL","Philippines","Australia",845.209213,"Australia","Philippines",1161.698321,-0.374450613093353
"15",2015,"AUS","RUS","Russian Federation","Australia",575.413534,"Australia","Russian Federation",397.509049,0.309176747657103
"16",2015,"AUS","SGP","Singapore","Australia",5140.113724,"Australia","Singapore",5092.143034,0.00933261257937104
